[10000, 2]
0.00037;  [0.9731, 0.23039, 0]; [-1.4475, 6.11416, 0];   [5.199, 0.101942, 0]; [-0.0540169, 2.75483, 0];   
0.00038;  [0.971633, 0.236499, 0]; [-1.48589, 6.10494, 0];   [5.19895, 0.104697, 0]; [-0.0554766, 2.7548, 0];   
0.00039;  [0.970128, 0.242599, 0]; [-1.52421, 6.09548, 0];   [5.19889, 0.107451, 0]; [-0.0569363, 2.75477, 0];   
0.0004;  [0.968585, 0.24869, 0]; [-1.56248, 6.08579, 0];   [5.19883, 0.110206, 0]; [-0.058396, 2.75474, 0];   
0.00041;  [0.967003, 0.254771, 0]; [-1.60068, 6.07585, 0];   [5.19877, 0.112961, 0]; [-0.0598557, 2.75471, 0];   
0.00042;  [0.965383, 0.260842, 0]; [-1.63883, 6.06567, 0];   [5.19871, 0.115716, 0]; [-0.0613153, 2.75468, 0];   
0.00043;  [0.963726, 0.266902, 0]; [-1.6769, 6.05525, 0];   [5.19865, 0.11847, 0]; [-0.0627749, 2.75464, 0];   
0.00044;  [0.96203, 0.272952, 0]; [-1.71491, 6.0446, 0];   [5.19859, 0.121225, 0]; [-0.0642346, 2.75461, 0];   
0.00045;  [0.960296, 0.278991, 0]; [-1.75286, 6.0337, 0];   [5.19852, 0.12398, 0]; [-0.0656942, 2.75458, 0];   
0.00046;  [0.958524, 0.28502, 0]; [-1.79073, 6.02257, 0];   [5.19846, 0.126734, 0]; [-0.0671538, 2.75454, 0];   
0.00047;  [0.956714, 0.291036, 0]; [-1.82853, 6.0112, 0];   [5.19839, 0.129489, 0]; [-0.0686133, 2.7545, 0];   
0.00048;  [0.954867, 0.297042, 0]; [-1.86626, 5.99959, 0];   [5.19832, 0.132243, 0]; [-0.0700729, 2.75447, 0];   
0.00049;  [0.952982, 0.303036, 0]; [-1.90392, 5.98774, 0];   [5.19825, 0.134998, 0]; [-0.0715324, 2.75443, 0];   
0.000500001;  [0.951059, 0.309017, 0]; [-1.9415, 5.97566, 0];   [5.19818, 0.137752, 0]; [-0.0729919, 2.75439, 0];   
0.000510001;  [0.949099, 0.314987, 0]; [-1.97901, 5.96335, 0];   [5.1981, 0.140506, 0]; [-0.0744514, 2.75435, 0];   
0.000520001;  [0.947101, 0.320944, 0]; [-2.01644, 5.95079, 0];   [5.19803, 0.143261, 0]; [-0.0759108, 2.75431, 0];   
0.000530001;  [0.945066, 0.326888, 0]; [-2.05378, 5.938, 0];   [5.19795, 0.146015, 0]; [-0.0773703, 2.75427, 0];   
0.000540001;  [0.942994, 0.33282, 0]; [-2.09105, 5.92498, 0];   [5.19787, 0.148769, 0]; [-0.0788297, 2.75423, 0];   
0.000550001;  [0.940884, 0.338738, 0]; [-2.12824, 5.91173, 0];   [5.19779, 0.151523, 0]; [-0.0802891, 2.75419, 0];   
0.000560001;  [0.938737, 0.344643, 0]; [-2.16534, 5.89824, 0];   [5.19771, 0.154278, 0]; [-0.0817485, 2.75415, 0];   
0.000570001;  [0.936553, 0.350535, 0]; [-2.20235, 5.88451, 0];   [5.19763, 0.157032, 0]; [-0.0832078, 2.7541, 0];   
0.000580001;  [0.934332, 0.356412, 0]; [-2.23928, 5.87056, 0];   [5.19754, 0.159786, 0]; [-0.0846672, 2.75406, 0];   
0.000590001;  [0.932075, 0.362276, 0]; [-2.27612, 5.85637, 0];   [5.19746, 0.16254, 0]; [-0.0861265, 2.75401, 0];   
0.000600001;  [0.92978, 0.368125, 0]; [-2.31287, 5.84196, 0];   [5.19737, 0.165294, 0]; [-0.0875858, 2.75397, 0];   
0.000610001;  [0.927449, 0.37396, 0]; [-2.34952, 5.82731, 0];   [5.19728, 0.168048, 0]; [-0.089045, 2.75392, 0];   
0.000620001;  [0.925081, 0.379779, 0]; [-2.38609, 5.81243, 0];   [5.19719, 0.170802, 0]; [-0.0905043, 2.75387, 0];   
0.000630001;  [0.922677, 0.385584, 0]; [-2.42256, 5.79732, 0];   [5.1971, 0.173556, 0]; [-0.0919635, 2.75382, 0];   
0.000640001;  [0.920236, 0.391374, 0]; [-2.45893, 5.78199, 0];   [5.19701, 0.176309, 0]; [-0.0934227, 2.75377, 0];   
0.000650001;  [0.917759, 0.397148, 0]; [-2.49521, 5.76642, 0];   [5.19692, 0.179063, 0]; [-0.0948818, 2.75372, 0];   
0.000660001;  [0.915246, 0.402907, 0]; [-2.53139, 5.75063, 0];   [5.19682, 0.181817, 0]; [-0.0963409, 2.75367, 0];   
0.000670001;  [0.912696, 0.408649, 0]; [-2.56747, 5.73461, 0];   [5.19672, 0.18457, 0]; [-0.0978, 2.75362, 0];   
0.000680001;  [0.910111, 0.414376, 0]; [-2.60345, 5.71836, 0];   [5.19662, 0.187324, 0]; [-0.0992591, 2.75357, 0];   
0.000690001;  [0.907489, 0.420086, 0]; [-2.63933, 5.70189, 0];   [5.19652, 0.190078, 0]; [-0.100718, 2.75352, 0];   
0.000700001;  [0.904832, 0.42578, 0]; [-2.6751, 5.6852, 0];   [5.19642, 0.192831, 0]; [-0.102177, 2.75346, 0];   
0.000710001;  [0.902139, 0.431456, 0]; [-2.71076, 5.66827, 0];   [5.19632, 0.195585, 0]; [-0.103636, 2.75341, 0];   
0.000720001;  [0.899411, 0.437116, 0]; [-2.74632, 5.65113, 0];   [5.19622, 0.198338, 0]; [-0.105095, 2.75335, 0];   
0.000730001;  [0.896647, 0.442759, 0]; [-2.78177, 5.63376, 0];   [5.19611, 0.201091, 0]; [-0.106554, 2.7533, 0];   
0.000740001;  [0.893847, 0.448384, 0]; [-2.81711, 5.61617, 0];   [5.196, 0.203845, 0]; [-0.108013, 2.75324, 0];   
0.000750001;  [0.891012, 0.453991, 0]; [-2.85234, 5.59836, 0];   [5.19589, 0.206598, 0]; [-0.109472, 2.75318, 0];   
0.000760001;  [0.888143, 0.45958, 0]; [-2.88746, 5.58033, 0];   [5.19578, 0.209351, 0]; [-0.110931, 2.75313, 0];   
0.000770001;  [0.885238, 0.465151, 0]; [-2.92246, 5.56207, 0];   [5.19567, 0.212104, 0]; [-0.112389, 2.75307, 0];   
0.000780001;  [0.882298, 0.470704, 0]; [-2.95735, 5.5436, 0];   [5.19556, 0.214857, 0]; [-0.113848, 2.75301, 0];   
