0	300	100	0
0.0025	299	100	1
0.005	299	99	2
0.0075	298	100	2
0.01	297	101	2
0.0125	297	101	2
0.015	297	101	2
0.0175	296	102	2
0.02	295	103	2
0.0225	294	104	2
0.025	294	104	2
0.0275	293	105	2
0.03	293	105	2
0.0325	292	106	2
0.035	291	107	2
0.0375	291	107	2
0.04	290	107	3
0.0425	290	107	3
0.045	290	106	4
0.0475	289	107	4
0.05	288	108	4
0.0525	287	109	4
0.055	287	108	5
0.0575	287	107	6
0.06	287	107	6
0.0625	286	108	6
0.065	285	109	6
0.0675	285	109	6
0.07	285	108	7
0.0725	284	108	8
0.075	283	109	8
0.0775	283	109	8
0.08	283	109	8
0.0825	283	109	8
0.085	283	108	9
0.0875	282	109	9
0.09	282	109	9
0.0925	282	108	10
0.095	282	108	10
0.0975	282	108	10
0.1	281	109	10
0.1025	280	110	10
0.105	280	110	10
0.1075	279	111	10
0.11	279	111	10
0.1125	278	111	11
0.115	278	111	11
0.1175	277	112	11
0.12	276	113	11
0.1225	275	114	11
0.125	274	115	11
0.1275	274	114	12
0.13	274	113	13
0.1325	274	112	14
0.135	274	112	14
0.1375	273	112	15
0.14	272	113	15
0.1425	271	114	15
0.145	270	115	15
0.1475	270	116	14
0.15	269	117	14
0.1525	268	118	14
0.155	268	118	14
0.1575	268	117	15
0.16	268	117	15
0.1625	267	118	15
0.165	266	119	15
0.1675	265	120	15
0.17	265	120	15
0.1725	265	120	15
0.175	264	120	16
0.1775	264	121	15
0.18	263	121	16
0.1825	263	120	17
0.185	263	120	17
0.1875	262	120	18
0.19	261	121	18
0.1925	260	122	18
0.195	260	122	18
0.1975	260	121	19
0.2	260	120	20
0.2025	260	119	21
0.205	259	120	21
0.2075	259	120	21
0.21	258	121	21
0.2125	257	122	21
0.215	257	121	22
0.2175	256	122	22
0.22	256	121	23
0.2225	256	121	23
0.225	255	122	23
0.2275	255	122	23
0.23	254	123	23
0.2325	253	124	23
0.235	252	125	23
0.2375	252	125	23
0.24	251	125	24
0.2425	250	125	25
0.245	249	125	26
0.2475	249	125	26
0.25	248	126	26
0.2525	248	126	26
0.255	248	126	26
0.2575	247	127	26
0.26	247	126	27
0.2625	246	127	27
0.265	245	128	27
0.2675	244	128	28
0.27	243	128	29
0.2725	242	129	29
0.275	241	130	29
0.2775	240	130	30
0.28	239	131	30
0.2825	238	132	30
0.285	238	132	30
0.2875	238	132	30
0.29	237	133	30
0.2925	236	134	30
0.295	235	134	31
0.2975	234	134	32
0.3	233	135	32
0.3025	233	135	32
0.305	232	135	33
0.3075	231	136	33
0.31	230	137	33
0.3125	230	136	34
0.315	231	136	33
0.3175	230	137	33
0.32	229	138	33
0.3225	229	137	34
0.325	228	138	34
0.3275	227	138	35
0.33	227	138	35
0.3325	227	138	35
0.335	226	138	36
0.3375	226	138	36
0.34	225	139	36
